finished,start_date,end_date,recorded_date,gender,age,enrolment_school,student_status,citizenship,ethnic_group,living_situation,current_circumstance,covid_19_stress_1,covid_19_stress_2,covid_19_stress_3,covid_19_stress_4,covid_19_stress_5,covid_19_stress_6,covid_19_stress_7,covid_19_stress_8,covid_19_stress_9,covid_19_stress_10,covid_19_stress_11,covid_19_stress_12,covid_19_stress_13,coping_strategies_1,coping_strategies_2,coping_strategies_3,coping_strategies_4,coping_strategies_5,coping_strategies_6,coping_strategies_7,coping_strategies_8,coping_strategies_9,coping_strategies_10,coping_strategies_11,coping_strategies_12,coping_strategies_13,coping_strategies_14,coping_strategies_15,generalv_wellbeing_1,generalv_wellbeing_2,generalv_wellbeing_3,generalv_wellbeing_4,generalv_wellbeing_5,generalv_wellbeing_6,music_info_4,music_info_5,prop_miss_all
TRUE,2020-04-29T10:57:58Z,2020-04-29T11:09:46Z,2020-04-29T11:09:46Z,female,18,3,1,Australia,Australian,1,4,5,2,4,5,1,4,4,1,4,5,4,5,2,5,4,4,4,5,5,5,3,3,4,5,1,4,1,4,3,5,5,1,4,2,ABBA,Dancing Queen,0
TRUE,2020-04-29T11:02:33Z,2020-04-29T11:29:22Z,2020-04-29T11:29:22Z,male,19,5,2,Hong Kong,Hong Kong,5,4,3,4,4,4,3,4,3,1,2,2,2,2,5,4,4,1,3,5,6,6,2,3,3,1,1,3,1,1,4,3,2,2,4,4,no particular artist but often songs without lyrics or piano songs,no particular artist but often songs without lyrics or piano songs,0
TRUE,2020-04-29T12:38:56Z,2020-04-29T12:47:10Z,2020-04-29T12:47:11Z,female,18,5,1,Australia,Caucasian,1,4,1,2,2,2,2,4,4,2,2,2,2,2,2,5,5,5,5,4,3,3,4,4,2,6,6,5,4,2,4,5,5,4,5,5,,,0
TRUE,2020-04-29T13:06:23Z,2020-04-29T13:12:19Z,2020-04-29T13:12:20Z,female,18,3,1,Australia/England,Australian,1,5,2,2,3,3,1,4,2,4,1,1,1,1,1,5,5,5,1,1,1,6,2,6,6,6,1,1,6,6,2,4,1,1,2,1,Clint Mansel,Requiem of a Dream,0
TRUE,2020-04-29T13:02:45Z,2020-04-29T13:26:49Z,2020-04-29T13:26:49Z,male,21,5,1,"Singapore, Australia",Asian,1,4,1,5,5,2,1,4,5,1,1,1,1,5,2,5,5,6,3,4,4,1,5,4,5,3,1,6,1,5,4,4,4,4,4,2,Lady Gaga,Paparazzi,0
TRUE,2020-04-29T13:39:16Z,2020-04-29T13:50:33Z,2020-04-29T13:50:33Z,female,18,5,1,Australia,caucasian,4,4,4,3,3,3,2,5,4,3,2,3,2,2,2,5,3,4,6,4,5,4,4,3,5,6,3,6,3,3,4,5,4,2,4,4,,,0
TRUE,2020-04-29T13:59:50Z,2020-04-29T14:09:30Z,2020-04-29T14:09:31Z,female,18,5,1,Australia,indian,1,4,3,4,5,3,2,5,5,2,3,4,4,4,2,6,5,5,4,3,5,5,3,4,3,5,1,3,5,5,2,4,4,4,4,2,hozier,movement,0
TRUE,2020-04-29T14:07:13Z,2020-04-29T14:19:12Z,2020-04-29T14:19:12Z,male,17,3,1,Australia,Australian,6,4,1,3,3,2,3,4,3,3,1,3,2,1,1,6,5,4,4,6,6,1,1,1,1,5,6,1,1,1,5,5,5,1,4,4,HILLSONG United,Oceans,0
TRUE,2020-04-29T14:57:20Z,2020-04-29T15:05:56Z,2020-04-29T15:05:56Z,female,19,5,1,Australia,Australian,1,5,2,4,4,2,2,4,2,2,2,2,2,2,2,5,5,4,5,2,3,3,3,5,5,5,1,5,1,5,2,4,4,5,5,1,Declan McKenna,Brazil,0
TRUE,2020-04-29T15:08:49Z,2020-04-29T15:27:55Z,2020-04-29T15:27:55Z,male,17,2,1,Australia,Vietnamese,4,4,5,4,4,4,3,4,3,3,4,4,4,3,3,1,4,1,4,2,4,5,4,2,3,4,1,1,1,4,2,1,5,5,1,4,ChilledCow,lofi hip hop radio,0
TRUE,2020-04-29T15:36:18Z,2020-04-29T15:46:48Z,2020-04-29T15:46:49Z,male,18,3,1,Australia,Caucasian Australian,1,4,1,1,1,2,1,4,5,1,1,4,2,1,1,5,4,4,5,5,5,4,4,3,4,5,1,5,4,4,4,5,5,4,4,5,,,0
TRUE,2020-04-29T15:36:06Z,2020-04-29T15:48:05Z,2020-04-29T15:48:06Z,female,18,1,1,Australia,Australian,1,4,1,1,3,3,1,5,5,1,1,3,1,1,1,6,4,2,4,3,5,4,4,4,3,5,1,4,1,5,3,4,4,3,3,4,Paradise,Bazzi,0
TRUE,2020-04-29T16:21:36Z,2020-04-29T16:30:53Z,2020-04-29T16:30:53Z,male,19,5,1,Australia,Anglosaxon,1,5,2,4,5,2,1,1,1,1,1,4,1,1,1,6,4,5,4,1,5,4,2,3,4,5,1,5,4,5,4,4,4,5,2,3,Hans Zimmer,Time,0
TRUE,2020-04-29T16:26:02Z,2020-04-29T16:34:30Z,2020-04-29T16:34:31Z,male,17,5,1,"South Africa, Australia",White European,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,2,2,5,1,1,1,1,1,1,6,1,1,1,2,5,5,4,4,2,Richard Wagner,Tannhauser Overture,0
